nome;Indirizzo;Colore Pin;Nascosto;Referente;Email;Telefono;Cellulare;Mandanti;P.IVA/C.F.;Freezco ;consegna;bonifico;fattura;incasso;incasso mancato;proroga;Visite Totali;visita dal cliente;telefonata;email;altro;Ultima Visita;Latitudine;Longitudine;Note;GentmoID
Caffè di Marzio;Piazza di Santa Maria in Trastevere, 15, 00153 Roma RM, Italia;rosso;;;;+39 06 581 6095;;;;0;0;0;0;0;0;0;0;0;0;0;0;;41.8895504;12.4706578;;gentmo.c.-ODImpEzfpj97A2Suk4c
Cafè Bamboo Bistrot & Wine Bar;Via Giambattista Valotti, 13, 25010 Isorella BS, Italia;rosso;x;;;+39 347 809 7078;;;;0;0;0;0;0;0;0;0;0;0;0;0;;45.30949870000001;10.3245688;;gentmo.c.-ORNuqXcU7D3WYJDElIF
Café Friends Porto Di Roma;Lungomare Duca degli Abruzzi, 84, 00121 Lido di Ostia RM, Italia;rosso;;;;+39 06 569 7795;;;;0;0;0;0;0;0;0;0;0;0;0;0;;41.73752579999999;12.249893;;gentmo.c.-OKQXuM-QzO7HWqy9UH6
Café86;Via Federico Ozanam, 86, 00152 Roma RM, Italia;rosso;;;;+39 06 8682 6782;;;;0;7;0;0;0;0;0;8;6;0;0;2;01/07/25;41.876983;12.4498484;;gentmo.c.-OLsf9YUm5rskqgwSUSJ
Camillo dal 1890;Piazza Navona, 79-81, 00186 Roma RM, Italia;rosso;;;;+39 06 5655 8161;;;;0;53;0;0;0;0;0;54;23;0;0;31;14/10/25;41.8992498;12.47344;;gentmo.c.-ONLDLuiZkfvei_Olk15
Campo magnetico;Vicolo delle Grotte, 3, 00186 Roma RM, Italia;rosso;;;;;;;;0;54;17;17;0;0;0;55;32;0;0;23;18/10/25;41.8948076;12.4726265;;gentmo.c.-OMxgSYt10H4meBHCnGD
Cantina Tirolese;Via Giovanni Vitelleschi, 23, 00193 Roma RM, Italia;rosso;;;;+39 06 6813 6804;;;;0;0;0;0;0;0;0;0;0;0;0;0;;41.9043382;12.4624154;;gentmo.c.-ODHPsG2NFLmRK6F_Wwn
Cantinero;Via Francesco Caracciolo, 26, 00192 Roma RM, Italia;rosso;x;;;+39 375 725 2945;;;;0;4;0;0;0;0;0;4;4;0;0;0;15/05/25;41.908701;12.4521117;;gentmo.c.-OKRYouiMx6Z_VUWdd_3
Caramella;Vicolo del Cinque, 31a, 00153 Roma RM, Italia;rosso;;;;+39 06 580 3889;;;;0;9;0;0;0;0;0;9;5;0;0;4;20/06/25;41.89119679999999;12.4701021;;gentmo.c.-OMYrq9iJMMbP8cQPHMg
Carmen Trastevere;Via del Politeama, 13, 00153 Roma RM, Italia;rosso;;;;+39 320 242 5965;;;;0;0;0;0;0;0;0;0;0;0;0;0;;41.8908422;12.4712136;;gentmo.c.-OKQbu5NyN5S3bYIKmkR
Carpegna Aubergine;Circonvallazione Aurelia, 75/77, 00165 Roma RM, Italia;rosso;;;;+39 06 6603 2072;;;;0;1;0;0;0;0;0;1;0;0;0;1;;41.8964996;12.4289675;;gentmo.c.-OeSPBY12X0HxjwwPlH-
Casa Mia a Roma Battistini;Via Mattia Battistini, 456, 00167 Roma RM, Italia;rosso;;;;+39 327 335 5200;;;;0;1;0;0;0;0;0;1;0;0;0;1;;41.91915059999999;12.4190384;;gentmo.c.-OUoPEtNaKW4uwoR3pqo
Casa Mia in Trastevere Roma;Via della Renella, 88/90, 00153 Roma RM, Italia;rosso;;;;+39 06 8697 4870;;;;0;0;0;0;0;0;0;0;0;0;0;0;;41.8904462;12.4715008;;gentmo.c.-ODMXX0X14Vvkwg8Ecgy
Casa Steiner Bistrot & Cocktail Bar;Via Paolo Mercuri, 21, 00193 Roma RM, Italia;rosso;;;;+39 393 469 4447;;;;0;29;15;15;0;1;0;30;0;0;0;30;;41.9049159;12.4729368;Preso da Simone;gentmo.c.-OZOd-nif8Z-GTOjUDof
Casamí Roma;Via Portuense, 369, 00149 Roma RM, Italia;rosso;x;;;+39 06 6928 0493;;;;0;1;0;0;0;0;0;1;1;0;0;0;12/04/25;41.8642513;12.4572948;;gentmo.c.-ON_kLdezZA3fo_w00fr
Casetta di Trastevere;P.za de' Renzi, 31/a, 00153 Roma RM, Italia;rosso;;;;+39 06 580 0158;;;;0;1;0;0;0;0;0;1;0;0;0;1;;41.890382;12.4702327;;gentmo.c.-O_nWsG5BYMLkOWREGVA
Cefalù Bistrò di Pesce;Viale dei Quattro Venti, 51, 00152 Roma RM, Italia;rosso;;;;+39 06 580 6994;;;;0;1;0;0;0;0;0;1;0;0;0;1;;41.883028;12.4588583;;gentmo.c.-O_amNbzZTfHooDwSChA
Centro Ippico Golden Horses;Via Ranuccio Bianchi Bandinelli, 00178 Roma RM, Italia;rosso;;;;+39 328 851 5252;;;;0;1;0;0;0;0;0;1;1;0;0;0;27/03/25;41.820614;12.5827757;;gentmo.c.-OMICUeyDoFaAu7KrZz4
Chakra Cafè;Piazza di Santa Rufina, 13, 00153 Roma RM, Italia;rosso;x;;;+39 06 9799 0737;;;;0;0;0;0;0;0;0;0;0;0;0;0;;41.8891159;12.4721459;;gentmo.c.-ODHZs93Q8TQjtAP4ik4
Chano Club;Via Cassia, 927/M, 00189 Roma RM, Italia;rosso;;;;+39 351 109 1102;;;;0;1;0;0;0;0;0;1;1;0;0;0;10/05/25;41.9713897;12.4334964;;gentmo.c.-OPtlA1rFkPmoqcb-2ZU
Chilly pigneto;Via Ascoli Piceno 44, 00176 Roma Lazio, Italia;rosso;;;;;;;;0;36;0;0;0;0;0;37;24;0;0;13;12/12/25;41.8897662;12.5258566;;gentmo.c.-OMSesk0BzfA14tx4cV-
Chiosco San Lorenzo;via dei Peligni, Parco dei Caduti della Resistenza, 00185 Roma RM, Italia;rosso;;;;;;;;0;2;0;0;0;0;0;2;0;0;0;2;;41.8975677;12.5123636;;gentmo.c.-O_D8uWl8VNcePjAp6Yx
Chiosco verde ;Piazza della Rovere, 00165 Roma Lazio, Italia;rosso;;;;;;;;0;2;0;0;0;0;0;2;0;0;0;2;;41.89896948767656;12.462720934262459;;gentmo.c.-ObT2lN7H0AVUZu1Y1TH
Chiringuito;Via di S. Francesco a Ripa, 165, 00153 Roma RM, Italia;rosso;;;;;;;;0;51;0;0;0;0;0;53;14;0;0;39;13/12/25;41.8883729;12.4709651;;gentmo.c.-OQIl4Bd4mVfW4mKmOnG
Chopstick Prati;Via dei Gracchi, 264, 00192 Roma RM, Italia;rosso;;;;+39 346 323 0063;;;;0;1;0;0;0;0;0;1;1;0;0;0;17/12/25;41.9091038;12.4666104;;gentmo.c.-OghSfDtDFICYemOAE67
Cieloterra Roma;Via di Portonaccio, 23, 00159 Roma RM, Italia;rosso;;;;;;;;0;4;0;0;0;0;0;4;4;0;0;0;20/06/25;41.9048546;12.5359949;;gentmo.c.-ORXrfwZmqHxG_WIxh_Z
Cinecittà World;Via Irina Alberti, 00128 Roma RM, Italia;rosso;;;;+39 06 4041 1501;;;;0;5;0;0;0;0;0;5;3;0;0;2;24/05/25;41.7098755;12.4465148;;gentmo.c.-OOsZHB1enKFD-YeQT5F
Circolo dei Cerchi;Via dei Cerchi, 75, 00186 Roma RM, Italia;rosso;;;;;;;;0;1;0;0;0;0;0;1;1;0;0;0;26/09/25;41.8878219;12.4841965;;gentmo.c.-Oa7RfyFb64-sbuRSV-d
Clorofilla Cucina & Distillati;Vicolo delle Grotte, 17, 00186 Roma RM, Italia;rosso;;;;+39 06 6940 2296;;;;0;4;0;1;0;0;0;5;3;0;0;2;24/06/25;41.8945181;12.4726079;;gentmo.c.-ODCng9vEMzwnKCLciZg
Club Derrière;Vicolo delle Coppelle, 59, 00186 Roma RM, Italia;nero;;;;+39 329 045 2505;;;;7;16;0;0;0;0;0;20;7;0;0;13;13/12/25;41.90109119999999;12.476201;;gentmo.c.-OT8HOkR858lWrmgkusX
Club Imperatrice;Viale delle Provincie, 131a, 00162 Roma RM, Italia;rosso;;;;+39 389 665 2129;;;;0;56;0;0;0;0;0;56;16;0;0;40;21/12/25;41.9072858;12.5216576;;gentmo.c.-OXI__IFokxnByhjJspP
Club Ristorante;V.le Isacco Newton, 4, 00151 Roma RM, Italia;rosso;;;;+39 06 9453 4172;;;;0;22;0;0;0;0;0;24;9;0;0;15;07/10/25;41.85965879999999;12.4426218;;gentmo.c.-OD7QjqMxeQfG7OLN2dC
Cocta;Via del Casale Rocchi 6, 00158 Roma Lazio, Italia;rosso;;;;;;;;0;17;0;0;0;0;0;17;2;0;0;15;26/11/25;41.9266138;12.5435372;Preso da simone cupello;gentmo.c.-OZ9XQLowZE0UGE8r6ly
Colonna Cafè & Restaurant;Via Vittoria Colonna, 7, 00193 Roma RM, Italia;rosso;;;;+39 347 571 1117;;;;0;15;0;1;0;0;0;22;19;0;0;3;30/07/25;41.9052119;12.4725489;;gentmo.c.-OMi35m-50PKRkTaEH2u
Colosseum Bar;Via di S. Giovanni in Laterano, 44, 00184 Roma RM, Italia;nero;;;;+39 06 770066;;;;3;3;0;0;0;0;0;3;0;0;0;3;;41.889725;12.4953146;;gentmo.c.-OeHB1lybJcbbf35tU00
Come a Casa;Via di Tor Sapienza, 15, 00155 Roma RM, Italia;rosso;;;;+39 327 197 1212;;;;0;26;0;0;0;0;0;26;13;0;0;13;04/08/25;41.90225849999999;12.5905165;;gentmo.c.-OMhCbOz9RgxLaHiatce
Concas Bar;Viale di Trastevere, 211B, 00153 Roma RM, Italia;rosso;;;;+39 06 588 1416;;;;0;16;0;0;0;0;0;17;8;0;0;9;28/07/25;41.8787866;12.4660044;;gentmo.c.-OMMSkzLYGMoTJ02AXUO
Contra Padel SSD;Via Mattia Battistini, 149, 00167 Roma RM, Italia;rosso;;;;+39 366 458 6346;;;;0;1;0;0;0;0;0;1;1;0;0;0;18/07/25;41.9094624;12.4174451;;gentmo.c.-OUu4vkTQ_mzxkFjFPYG
Convivio Ampelo;Via Aurelia Antica, 372, 00165 Roma RM, Italia;rosso;;;;+39 06 5153 0654;;;;0;0;0;0;0;0;0;0;0;0;0;0;;41.8915872;12.4300804;;gentmo.c.-Ofdy-M5voGOD1FRQUoO
Copacabana Roma;Via del Politeama, 8, 00153 Roma RM, Italia;rosso;;;;;;;;0;1;0;0;0;0;0;1;1;0;0;0;31/07/25;41.8911057;12.4708319;;gentmo.c.-OWX8mfp-cE-gxgvoziZ
Crash Roma;Via S. Marino, 47B, 00198 Roma RM, Italia;rosso;;;;+39 347 944 9129;;;;0;0;0;0;0;0;0;0;0;0;0;0;;41.9226804;12.5128785;;gentmo.c.-OL0RLrzJQegzznoEEH4
Cristan latteria ;Via Cesare Beccaria 21, 00196 Roma Lazio, Italia;rosso;x;;;;;;;0;1;0;0;0;0;0;1;0;0;0;1;;41.9126109;12.474209;;gentmo.c.-O_rCIKWH1yE3qIlwnDv
Cristian;Via Giovanni Battista Tiepolo 13A, 00196 Roma Lazio, Italia;rosso;x;;;;3339345660;;;0;0;0;1;0;0;0;1;1;0;0;0;22/03/25;41.9237218;12.4695799;;gentmo.c.-OLdviLGgGnPf2hrZ_6e
Cristina  infernetto ;Via Epaminonda, 00124 Roma Lazio, Italia;rosso;;;;;;;;0;1;0;0;0;0;0;1;0;0;0;1;;41.74661701346417;12.327899470196249;;gentmo.c.-O_bVBOZU9v3Hold3I7s
Da Nina a Trastevere;Via dei Vascellari, 44, 00153 Roma RM, Italia;rosso;;;;+39 06 5987 4093;;;;0;0;0;0;0;0;0;0;0;0;0;0;;41.8877364;12.4774203;;gentmo.c.-OQdPpmSA8QpiKaku4Ol
Da Noi;Via Vittorio Piccinini, 1, 00135 Roma RM, Italia;rosso;;;;+39 06 3036 5560;;;;1;9;0;1;0;0;0;10;7;0;0;3;18/07/25;41.98350809999999;12.4085049;;gentmo.c.-OPpfTBu2BWQvO3WOIWW
Da Peppinella;Via Ottavio Assarotti, 36, 00135 Roma RM, Italia;rosso;;;;+39 06 3060 0535;;;;0;21;0;0;0;0;0;22;10;0;0;12;11/11/25;41.9424256;12.4219272;;gentmo.c.-OQn4dtpSlHTACp0YMTW
Damà Centocelle - Enoteca Moderna;Via delle Rose, 109, 00171 Roma RM, Italia;blu;;;;+39 366 677 4686;;;;0;87;40;40;0;0;0;92;47;0;0;45;19/12/25;41.89091639999999;12.567616;;gentmo.c.-ODHXmANDvloDuMhkXiX
Dan Di Mandatori Dario;Via degli Artisti, 23, 00187 Roma RM, Italia;rosso;;;;+39 06 482 1515;;;;0;1;0;0;0;0;0;1;0;0;0;1;;41.9053713;12.4865064;;gentmo.c.-OblZYKzfGkVD-GqacNY
Daroma;V. Gioberti, 39, 00185 Roma RM, Italia;rosso;x;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;;41.89893800000001;12.5003649;;gentmo.c.-ORMTPAiUaheX3S09Q6z
De Santis Santa Croce;17/21, Via di S. Croce in Gerusalemme, 15A/19, 00185 Roma RM, Italia;rosso;;;;+39 06 7030 1912;;;;0;50;0;1;0;0;0;53;30;0;0;23;14/12/25;41.8892599;12.513582;;gentmo.c.-OM2rOaO6H-g9taMCe6l
DiMu;Via Alberto da Giussano, 76, 00176 Roma RM, Italia;rosso;;;;+39 06 3107 8544;;;;0;1;0;0;0;0;0;1;1;0;0;0;07/10/25;41.8884929;12.5346891;;gentmo.c.-OazRTfwwi-_2w4s0Wsf
Diadema Restaurant & Bar;Via Palermo, 31, 00184 Roma RM, Italia;rosso;;;;+39 06 8961 0246;;;;0;2;0;0;0;0;0;3;3;0;0;0;05/07/25;41.89839480000001;12.4914144;;gentmo.c.-OT7Shvk1Im29BZFvCTA
Dimitri evento;Via Gaetano Luporini 41, 00124 Roma Lazio, Italia;rosso;x;;;;;;;0;1;0;0;0;0;0;1;1;0;0;0;20/08/25;41.743272;12.3713342;;gentmo.c.-OW-wK1nOPvBWaslMUeb
Dogma;Via Federico Alessandrini, 92, 00128 Roma RM, Italia;rosso;;;;+39 06 6930 4527;;;;0;61;26;26;0;0;0;63;40;0;0;23;05/12/25;41.7670538;12.4706246;;gentmo.c.-OLip9YZCEuu9h0nKzV7
Donkey Punch;Via della Scala, 33, 00153 Roma RM, Italia;rosso;;;;+39 06 9784 4756;;;;0;0;0;0;0;0;0;0;0;0;0;0;;41.8917896;12.4679045;;gentmo.c.-ODN6UqPe42JBYbtQG5T
Drink Floyd Pub;Via Renzo da Ceri, 159, 00176 Roma RM, Italia;rosso;;;;+39 351 817 8531;;;;0;49;0;0;1;0;0;54;29;0;0;25;25/11/25;41.8882392;12.5387912;;gentmo.c.-OLAhDTtv3FJ2ETUmAi_
Drink Kong;Piazza di S. Martino Ai Monti, 8, 00184 Roma RM, Italia;nero;;;;+39 06 2348 8666;;;;1;5;1;1;0;0;0;8;3;0;0;5;19/06/25;41.89515850000001;12.497966;;gentmo.c.-ORCL7ZG_fQLOmemilmy
Drop;Via Cavour, 183, 00184 Roma RM, Italia;rosso;;;;+39 351 684 9686;;;;0;0;0;0;0;0;0;0;0;0;0;0;;41.8957813;12.4942187;;gentmo.c.-ODSpkKZnSE-XRjrS4c3
Due Bicchieri - Enoteca con cucina;Via Cesare Baronio, 72/74, 00179 Roma RM, Italia;rosso;;;;+39 366 501 7144;;;;0;6;0;0;0;0;0;6;0;0;0;6;;41.8726357;12.5195583;;gentmo.c.-ObOIBVmbSPIbTR7g0E8
Dulcamara;Via Flaminia, 449, 00191 Roma RM, Italia;rosso;;;;+39 06 333 2108;;;;0;94;38;41;1;0;0;98;31;0;0;67;28/10/25;41.9377508;12.4666663;;gentmo.c.-OD7P0f4zUFaJbXloJNy
Déhor Florha;Via Cassia, 10b, 00191 Roma RM, Italia;rosso;;;;+39 327 836 1603;;;;0;44;0;0;1;0;0;48;24;0;0;24;07/12/25;41.9384217;12.4662299;;gentmo.c.-ODHd8CGl5N6bofUP-gA
EST EST EST restaurant in Rome;Via Principe Amedeo, 4/a, 00185 Roma RM, Italia;rosso;;;;+39 06 474 1319;;;;0;2;0;0;0;0;0;2;0;0;0;2;;41.9006653;12.4974485;;gentmo.c.-OXcZcqwNt2FAGYwF8dE
Edicola Vertice;Piazza dei Siculi, snc, 00185 Roma RM, Italia;rosso;;;;;;;;0;1;1;1;0;0;0;1;1;0;0;0;08/05/25;41.8987827;12.5111954;;gentmo.c.-OPg4clwXjDuU2ku__GN
Eggs Roma;Via Natale del Grande, 52, 00153 Roma RM, Italia;rosso;;;;+39 06 581 7281;;;;0;1;0;0;0;0;0;1;1;0;0;0;08/04/25;41.8874507;12.4711673;;gentmo.c.-ON1M9_8rzvOwSht7REq
El Cid;Vle Tirreno, 164 A, 00141 Roma RM, Italia;rosso;;;;+39 340 166 6404;;;;0;2;0;0;0;0;0;2;2;0;0;0;22/03/25;41.9407617;12.5294543;;gentmo.c.-OL0QB70gPzhzL7fFc7a
El Santo • Taqueria y Cocina;Via Properzio, 24, 00193 Roma RM, Italia;rosso;;;;+39 392 700 8567;;;;0;1;0;0;0;0;0;1;1;0;0;0;18/07/25;41.9055486;12.4610743;;gentmo.c.-OVOQCcsy3ALM4VLlV--
Ellington Club;Via Anassimandro, 15, 00176 Roma RM, Italia;rosso;;;;+39 392 111 0282;;;;0;1;0;0;0;0;0;1;0;0;0;1;;41.8836313;12.5347814;;gentmo.c.-Od-AZOJZ1O0fwnP7iTK
Emerald's Independent Bar;Via Crescenzio, 91c, 00193 Roma RM, Italia;rosso;x;;;+39 06 8865 4275;;;;0;1;0;0;0;0;0;1;1;0;0;0;28/05/25;41.9058118;12.4607831;;gentmo.c.-ORHd77mftdt3Lqs5IWt
Emporio Sant'Eustachio;Via della Maddalena, 36, 00186 Roma RM, Italia;rosso;;;;+39 06 7725 1018;;;;0;1;0;0;0;0;0;2;2;0;0;0;14/06/25;41.90076659999999;12.4766108;;gentmo.c.-OSTmVunJEWcZdV_LjLZ
Emporio food e drink;Roma Lazio, Italia;rosso;;;;;;;;0;3;0;0;0;0;0;3;0;0;0;3;;41.8238423;12.4658194;;gentmo.c.-ObX_SMRUJBHQN3Cgtdn
Enofficina;Via Trionfale, 50, 00195 Roma RM, Italia;rosso;;;;+39 06 3974 2353;;;;0;12;0;0;0;0;0;13;4;0;0;9;04/11/25;41.9117496;12.4534595;;gentmo.c.-OTlNGurvsmGAtL5O-l2
"Enoteca ""La Cantina XXIX"" Ponte Milvio";Piazzale di Ponte Milvio, 29, 00139 Roma RM, Italia;rosso;;;;+39 06 333 3462;;;;0;4;0;0;0;0;0;5;2;0;0;3;11/08/25;41.9378574;12.466065;;gentmo.c.-OSeDSKnvtugzoCT_2PZ
Enoteca CUVERIE;Via Santa Cecilia, 1, 00153 Roma RM, Italia;rosso;;;;+39 06 8380 6268;;;;0;16;0;0;0;0;0;17;4;0;0;13;06/10/25;41.887581;12.477274;;gentmo.c.-OU-Nd5G2_HLXVqMtpU6
Enoteca Wine Art;Via del Gazometro, 64, 00154 Roma RM, Italia;rosso;;;;+39 06 575176;;;;0;0;0;0;0;0;0;0;0;0;0;0;;41.87215940000001;12.4790124;;gentmo.c.-ODID5PEpo1x_NYj3-Fh
Era Ora Cocktail Bar;V.le dell'Esercito, 62, 00143 Roma RM, Italia;rosso;;;;+39 320 795 0553;;;;0;0;0;0;0;0;0;0;0;0;0;0;;41.8126898;12.4872188;;gentmo.c.-OLODxF6BCltqmbQCin_
Ercoli 1928;Viale Parioli, 184, 00197 Roma RM, Italia;rosso;;;;+39 06 808 0084;;;;1;21;0;1;3;0;0;22;20;0;0;2;20/07/25;41.9292284;12.4861698;;gentmo.c.-OL6XJ1gQYVqfvowua31
Ercoli Trastevere;Via Zanazzo Giggi, 4, 00153 Roma RM, Italia;rosso;;;;+39 06 9652 7412;;;;0;0;0;0;0;0;0;0;0;0;0;0;;41.8885333;12.4746738;;gentmo.c.-OQdPsyuBrJCIXFQYhnR
Ergife Palace Hotel & Conference Center;Largo Lorenzo Mossa, 8, 00165 Roma RM, Italia;rosso;;;;+39 06 66441;;;;0;1;0;0;0;0;0;1;1;0;0;0;15/06/25;41.8927343;12.4190806;;gentmo.c.-OSj4rYvzqARoxAyCPhE
Escopazzo;Via d'Aracoeli, 41/43, 00186 Roma RM, Italia;rosso;;;;+39 351 576 1801;;;;0;0;0;0;0;0;0;0;0;0;0;0;;41.8954032;12.4794385;;gentmo.c.-ODNWkMjL1Cke4v294fj
Essenza Wine Bar Trastevere;Via della Scala, 27a, 00153 Roma RM, Italia;rosso;;;;+39 06 6935 9966;;;;0;2;0;0;0;0;0;2;1;0;0;1;04/04/25;41.89175729999999;12.4678284;;gentmo.c.-ON-aYoUxUnq9y2NhX4V
Etablino - Caffè Due Fontane;Piazza Perin del Vaga, 13, 00196 Roma RM, Italia;rosso;;;;+39 06 3105 0480;;;;0;1;0;0;0;0;0;1;0;0;0;1;;41.9251785;12.4648079;;gentmo.c.-OeMQCDHm-zYjDqj92hp
EuroHive;Viale Giorgio Ribotta, 35, 00144 Roma RM, Italia;rosso;;;;+39 06 982 6211;;;;0;1;0;0;0;0;0;1;1;0;0;0;03/07/25;41.8180729;12.456916;;gentmo.c.-OU4nY819K32JrbNFIrH
Ev Ruben;Via Fonteiana 22, 00152 Roma Lazio, Italia;rosso;;;;;;;;0;1;0;0;0;0;0;1;0;0;0;1;;41.883;12.4549356;;gentmo.c.-OZxah1oH9RK_rY9Ym2P
Ev privato Lobra ufficio jacopo igor;Via Ostiense 131L, 00154 Roma Lazio, Italia;rosso;;;;;;;;0;1;0;0;0;0;0;1;0;0;0;1;;41.8655374;12.4795689;;gentmo.c.-O_zW5nQIjBQ00ff0tgj
Ev. Marta Flati;Via dei Boccamazzi 20, 00155 Roma Lazio, Italia;rosso;x;;;;;;;0;1;0;0;0;0;0;1;0;0;0;1;;41.9029023;12.591109;;gentmo.c.-OaesXcff3Spq0D5CV-K
Ev. Tyler vai ausoni ;Via degli Ausoni 1, 00185 Roma Lazio, Italia;rosso;;;;;;;;0;1;0;0;0;0;0;1;0;0;0;1;;41.8992273;12.5163826;;gentmo.c.-ObbeEwCh9nMAAOUWTmD
Ev.Piazza fiammetta ;Piazza Fiammetta 14, 00186 Roma Lazio, Italia;rosso;;;;;;;;0;1;0;0;0;0;0;1;0;0;0;1;;41.900817;12.4717362;;gentmo.c.-OfATlLqSB5GWNMe4Wim
Ev.baronato;Via di Monte Testaccio 53, 00153 Roma Lazio, Italia;rosso;;;;;;;;0;1;1;1;0;0;0;1;0;0;0;1;;41.87492607658443;12.47521295003854;;gentmo.c.-OgmpZCVdEOe1L99S_zl
Ev.tyler - p.zza Manfredo ganti;Piazza Manfredo Fanti 47, 00185 Roma Lazio, Italia;rosso;x;;;;;;;0;1;0;0;0;0;0;1;0;0;0;1;;41.8976981;12.5028965;;gentmo.c.-Obbc1Tk-o63z_xegDpw
Event ;Via Bartolomeo Marliano 3, 00162 Roma Lazio, Italia;rosso;x;;;3293813209;;;;0;1;0;0;0;0;0;1;0;0;0;1;;41.9231858;12.5247167;;gentmo.c.-OczH3P0H7iHWBk7P5zo
Evento ;Piazza di Santa Maria in Trastevere 6, 00153 Roma Lazio, Italia;rosso;x;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;;41.88973765137113;12.47047609080869;;gentmo.c.-ORBKvO2F0P5HjkkJdNZ
Evento Angelika;Via Principe Amedeo 148, 00185 Roma Lazio, Italia;rosso;x;;;;;;;0;1;0;0;0;0;0;1;1;0;0;0;28/06/25;41.8967383;12.5039433;;gentmo.c.-OTXyhrxDJSyTW9VOxFn
Evento Angelucci;Via del Frantoio 9C, 00159 Roma Lazio, Italia;rosso;x;;;;3460626337;;;0;2;0;0;0;0;0;2;2;0;0;0;03/07/25;41.9129081;12.5616705;;gentmo.c.-OSe4XXZ3gL4i4c3f0gy
Evento Bartali;Via della Vasca Navale 58, 00146 Roma Lazio, Italia;rosso;x;Febo;;;;;;0;1;0;0;0;0;0;1;1;0;0;0;11/06/25;41.8567029;12.4688232;;gentmo.c.-OSQsF4iry8UgYbfl_QL
Evento DOGMA;Passeggiata del Giappone, 00144 Roma Lazio, Italia;rosso;;;;;;;;0;3;3;3;0;0;0;3;0;0;0;3;;41.83027229288651;12.463012468267658;;gentmo.c.-O_MrJwrvz8IXQL5ikwI
Evento Iacopo;Viale Glorioso 10, 00153 Roma Lazio, Italia;rosso;x;;;;;;;0;1;0;0;0;0;0;1;1;0;0;0;15/05/25;41.8851067;12.4681487;;gentmo.c.-OQDfy2CAdEcFyQbjbsK
Evento Mancini;Via di Ponziano 19, 00152 Roma Lazio, Italia;rosso;x;;;;;;;0;1;0;0;0;0;0;1;0;0;0;1;;41.8760595;12.4646236;;gentmo.c.-OVUJFKRnfFdIBQRuu26
Evento Papo;Via Pio VIII 5, 00165 Roma Lazio, Italia;rosso;x;Mauro;;;3332131780;;;0;0;0;0;0;0;0;1;1;0;0;0;21/06/25;41.8994245;12.4433416;;gentmo.c.-OTEuKDITHcw_hXDBuCP
Evento bottle boonker;Via della Macchiarella 89, 00119 Roma Lazio, Italia;rosso;x;;;;;;;0;1;0;0;0;0;0;1;1;0;0;0;15/06/25;41.7859087;12.31287;;gentmo.c.-OSWJGWu6d5bEy_tTmgh
Evento ernesto;Via del Teatro Valle 53B, 00186 Roma Lazio, Italia;rosso;;Ernesto;;;3403051805;;;0;12;0;0;0;0;0;12;4;0;0;8;27/06/25;41.8972418;12.4751527;;gentmo.c.-OQxX1x0P6C8WFOlkDWd
Evento ernesto ;Via del Casale della Castelluccia 69, 00123 Roma Lazio, Italia;rosso;x;Ernesto;;;;;;0;1;0;0;0;0;0;1;1;0;0;0;20/07/25;41.9850228;12.3956244;;gentmo.c.-OVNBQiNrj_zkD-EJbvC
Evento ettore;Castelnuovo di Porto Lazio, Italia;rosso;;;;;;;;0;1;0;0;0;0;0;1;0;0;0;1;;42.1258226;12.5006125;;gentmo.c.-OasVw-RZh43GX1JR4Kp
Evento ex;Piazza Stefano Jacini 5, 00191 Roma Lazio, Italia;rosso;x;;;;;;;0;1;0;0;0;0;0;1;1;0;0;0;18/07/25;41.9493063;12.4653605;;gentmo.c.-OVSkmSVlFpPW4Js-1Sc
Evento exclusive ;Via San Giuseppe da Copertino 140, 00123 Roma Lazio, Italia;rosso;x;;;3494747623;;;;0;1;0;0;0;0;0;1;0;0;0;1;;41.9773776;12.4041242;;gentmo.c.-OUdH6JxQtmc9JEbYnAH
Evento exclusive ;Via Marcandreola 52, 00043 Ciampino Lazio, Italia;rosso;x;;;;;;;0;1;0;0;0;0;0;1;0;0;0;1;;41.7990976;12.6152147;;gentmo.c.-OUxynCh2WRD0wQYJcOr
Evento exlusive;Via di Bravetta 120, 00164 Roma Lazio, Italia;rosso;x;;;;;;;0;3;0;0;0;0;0;3;2;0;0;1;04/07/25;41.8847531;12.4230827;;gentmo.c.-OT6xOdKqM_7JeD8c6_l
Evento ferrari;Via Ezio 30A, 00192 Roma Lazio, Italia;rosso;x;;;;;;;0;1;0;0;0;0;0;1;1;0;0;0;28/06/25;41.9098944;12.4656475;;gentmo.c.-OTmThskZrvfeK8La5xC
Evento ferratella;Via Salvatore Quasimodo 124, 00143 Roma Lazio, Italia;rosso;x;;;;;;;0;2;0;0;0;0;0;2;2;0;0;0;19/07/25;41.8150172;12.464564;;gentmo.c.-ORwfcffyjOcE_Xz7KBp
Evento flavia ;Via Barisano da Trani 1, 00171 Roma Lazio, Italia;rosso;x;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;;41.8921488;12.5784902;;gentmo.c.-Oa93X9pRHse0PppEHSd
Evento flavio ;Largo Giuseppe Veratti 7, 00146 Roma Lazio, Italia;rosso;x;;;;;;;0;1;0;0;0;0;0;1;0;0;0;1;;41.8509918;12.4729515;;gentmo.c.-OVX62kU6rxLQbChAMNh
